name,uid,resource_type,water_fountain,bottle_filler,jug_filler,dog_fountain,latitude,longitude,address,city,state,zip_code,park,access,public_access_hours_open,public_access_hours_close,public_access_days,notes,data_source,point,supervisor_district,analysis_neighborhood,data_as_of,data_loaded_at
Potrero del Sol maintenance shed,7369807581716614644,restroom,0,0,0,0,37.75010237707119,-122.40535701747807,Potrero & Army,San Francisco,CA,94110,Potrero del Sol,limited_access,08:00:00,20:00:00,Daily,,rec,POINT (-122.405357017 37.750102377),9,Mission,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Hamilton Rec Center,8369580577400438332,restroom,0,0,0,0,37.784532521056015,-122.43517777945735,1900 Geary Blvd,San Francisco,CA,94115,Hamilton Rec Center,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.435177779 37.784532521),5,Japantown,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Tenderloin Pit Stop - Eddy St. and Jones St.,1822039486289552148,restroom,0,0,0,0,37.7841238,-122.4122697,Eddy St. and Jones St.,San Francisco,CA,,Father Alfred E. Boeddeker Park,publicly_accessible,,,,,pit_stop,POINT (-122.4122697 37.7841238),5,Tenderloin,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Golden Gate Park Horseshoe Pits Bathroom,1345444901404498198,restroom,0,0,0,0,37.77375258325822,-122.45599541001691,Stanyan & Great Hwy,San Francisco,CA,94122,Golden Gate Park - Section 1,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.45599541 37.773752583),1,Golden Gate Park,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Jerry Garcia Amphitheatre Restroom,4378564667613058963,restroom,0,0,0,0,37.72085227658544,-122.41693628599539,Mansell & Visitacion,San Francisco,CA,94134,John McLaren Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.416936286 37.720852277),9,McLaren Park,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Golden Gate Park Big Rec Restroom,7412129545205733377,restroom,0,0,0,0,37.768535427649574,-122.46537749217539,Stanyan & Great Hwy,San Francisco,CA,94122,Golden Gate Park - Section 7,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.465377492 37.768535428),7,Golden Gate Park,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Balboa Park Community Pool,2219492298401891873,restroom,0,0,0,0,37.72640029011134,-122.44323591744637,San Jose Ave & Havelock,San Francisco,CA,94112,Balboa Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.443235917 37.72640029),11,Outer Mission,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Golden Gate Park Mothers Meadow Bathroom,3641707246750174634,restroom,0,0,0,0,37.76638470444172,-122.47669708312299,M.L. King Dr/19th Ave,San Francisco,CA,94122,Golden Gate Park - Section 4,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.476697083 37.766384704),7,Golden Gate Park,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Heron's Head Eco Center,8218204447177500715,restroom,0,0,0,0,37.73973960202031,-122.3753927154921,,San Francisco,CA,94124,Heron's Head Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.375392715 37.739739602),10,Bayview Hunters Point,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Golden Gate Park Stow Lake Restrooms,452880654814813649,restroom,0,0,0,0,37.77098212462675,-122.47687712170143,,San Francisco,CA,94122,Golden Gate Park - Section 4,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.476877122 37.770982125),7,Golden Gate Park,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
