name,uid,resource_type,water_fountain,bottle_filler,jug_filler,dog_fountain,latitude,longitude,address,city,state,zip_code,park,access,public_access_hours_open,public_access_hours_close,public_access_days,notes,data_source,point,supervisor_district,analysis_neighborhood,data_as_of,data_loaded_at
Willie Woo Woo Wong Clubhouse,833784527962744172,restroom,0,0,0,0,37.79362869826284,-122.40704783815053,850 Sacramento St,San Francisco,CA,94108,Willie Woo Woo Wong Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.407047838 37.793628698),3,Chinatown,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Golden Gate Park Conservatory Bathroom,2595978294909240049,restroom,0,0,0,0,37.7726071209186,-122.46078914134327,Stanyan & Great Hwy,San Francisco,CA,94122,Golden Gate Park - Section 3,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.460789141 37.772607121),1,Golden Gate Park,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Potrero Hill Rec Center,5068999930283866876,restroom,0,0,0,0,37.75606313229893,-122.39703757860171,801 Arkansas St,San Francisco,CA,94107,Potrero Hill Rec Center,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.397037579 37.756063132),10,Potrero Hill,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Cabrillo Clubhouse,5261161722080981663,restroom,0,0,0,0,37.77310560006323,-122.4984882447951,38th Ave  &  Cabrillo,San Francisco,CA,94121,Cabrillo Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.498488245 37.7731056),1,Outer Richmond,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Matthew Boxer Stadium,8899937437357167847,restroom,0,0,0,0,37.72617635780315,-122.44515599685799,Ocean & San Jose,San Francisco,CA,94112,Balboa Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.445155997 37.726176358),11,Outer Mission,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Castro Pit Stop - Market and Castro streets (JCDecaux),3991774780780772696,restroom,0,0,0,0,37.7627732,-122.4348053,Market and Castro streets (JCDecaux),San Francisco,CA,,,publicly_accessible,,,,,pit_stop,POINT (-122.4348053 37.7627732),8,Castro/Upper Market,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Golden Gate Park Panhandle Restroom Bldg,7206395870757051780,restroom,0,0,0,0,37.77236921062183,-122.44763870798627,Stanyan & Great Hwy,San Francisco,CA,94117,Golden Gate Park - Section 1,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.447638708 37.772369211),5,Golden Gate Park,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Golden Gate Park Sharon Arts Studio,8592488633681375097,restroom,0,0,0,0,37.76825165186147,-122.45826061867582,Sharon Meadow,San Francisco,CA,94122,Golden Gate Park - Section 7,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.458260619 37.768251652),7,Golden Gate Park,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Mission Pit Stop - SFGH Building 80/90 COVID 19 Pit Stop,175034497487408157,restroom,0,0,0,0,37.7571167,-122.4056906,SFGH Building 80/90 COVID 19 Pit Stop,San Francisco,CA,,,publicly_accessible,,,,,pit_stop,POINT (-122.4056906 37.7571167),10,Mission,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Civic Center Pit Stop - Grove and Larkin streets (JCDecaux),400838196920771509,restroom,0,0,0,0,37.7787317,-122.4169278,Grove and Larkin streets (JCDecaux),San Francisco,CA,,,publicly_accessible,,,,,pit_stop,POINT (-122.4169278 37.7787317),5,Tenderloin,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Golden Gate Park Boat Children's Play Area Restroom,4477704728310835559,restroom,0,0,0,0,37.76448017598026,-122.50495828641058,John F. Kennedy Dr,San Francisco,CA,94122,Golden Gate Park - Section 6,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.504958286 37.764480176),4,Golden Gate Park,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Balboa Park West Bathrooms,1769901743412994542,restroom,0,0,0,0,37.72515053758773,-122.44552973999808,Ocean & San Jose,San Francisco,CA,94112,Balboa Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.44552974 37.725150538),11,Outer Mission,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Cow Hollow Clubhouse,268193261574787356,restroom,0,0,0,0,37.79738738547435,-122.44467422301558,Baker & Filbert St,San Francisco,CA,94123,Cow Hollow Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.444674223 37.797387385),2,Marina,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Rossi Annex Bathrooms,6562678434491126801,restroom,0,0,0,0,37.777987485913116,-122.45767115611767,2 Willard North Street,San Francisco,CA,94118,Angelo J. Rossi Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.457671156 37.777987486),1,Lone Mountain/USF,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Glen Silver Tree Clubhouse,7299141279747414876,restroom,0,0,0,0,37.740668163611694,-122.44236799449727,Diamond & Farnum St,San Francisco,CA,94131,Glen Canyon Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.442367994 37.740668164),8,Glen Park,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Mission Dolores South Restrooms,6914552669529225689,restroom,0,0,0,0,37.75856331955011,-122.4264190310987,19th & Dolores Streets,San Francisco,CA,94114,Mission Dolores Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.426419031 37.75856332),8,Castro/Upper Market,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Golden Gate Park County Fair Bldg,267201242479838480,restroom,0,0,0,0,37.76651026065497,-122.46712993362594,Stanyan & Great Hwy,San Francisco,CA,94122,Golden Gate Park - Section 3,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.467129934 37.766510261),7,Golden Gate Park,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Merced Heights Clubhouse,9220700351671859647,restroom,0,0,0,0,37.71773930376945,-122.47015598167661,Byxbee & Shields St,San Francisco,CA,94132,Merced Heights Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.470155982 37.717739304),11,Oceanview/Merced/Ingleside,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
James Rolph Jr Clubhouse,8648877855879303740,restroom,0,0,0,0,37.75003216610579,-122.40660092790397,Potrero & Cesar Chavez St,San Francisco,CA,94110,James Rolph Jr. Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.406600928 37.750032166),9,Mission,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Stern: Trocadero Clubhouse,8133832864124121718,restroom,0,0,0,0,37.7361723482516,-122.4779173400565,19th Ave & Sloat Blvd,San Francisco,CA,94132,Sigmund Stern Recreation Grove,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.47791734 37.736172348),4,Sunset/Parkside,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Betty Ann Ong Chinese Recreation Center,9071085066755205918,restroom,0,0,0,0,37.7942738180445,-122.41169058647957,1199 Mason St,San Francisco,CA,94108,Betty Ann Ong Chinese Rec Center,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.411690586 37.794273818),3,Nob Hill,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Upper Noe Rec Center building,3158456019003072220,restroom,0,0,0,0,37.742446411535234,-122.42843389677046,Day & Sanchez Streets,San Francisco,CA,94131,Upper Noe Rec Center,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.428433897 37.742446412),8,Noe Valley,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
McLaren Bike Muni Restroom,6153008481896635412,restroom,0,0,0,0,37.71408977538703,-122.42331648466511,,San Francisco,CA,94134,John McLaren Park,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.423316485 37.714089775),10,McLaren Park,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Garfield Square Community Pool,5735591419346594273,restroom,0,0,0,0,37.7499765676045,-122.41197072562764,26th & Harrison St,San Francisco,CA,94110,Garfield Square,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.411970726 37.749976568),9,Mission,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
Gilman Clubhouse,5040493411167008693,restroom,0,0,0,0,37.716801086381196,-122.38835496893222,Gilman Ave & Griffith,San Francisco,CA,94124,Gilman Playground,publicly_accessible,08:00:00,20:00:00,Daily,,rec,POINT (-122.388354969 37.716801086),10,Bayview Hunters Point,2023/09/28 10:24:18 AM,2023/11/01 11:30:01 AM
